fid,auc,go,caption,prot,text,class
4,0.6759999990463257,nucleic acid binding,transcription · chromat,True,False,protein-only
97,0.6850000023841858,catalytic activity,metabolism · cytoskeleton,True,False,protein-only
199,0.6639999747276306,negative regulation of cellular process,zinc-finger · chromat · ubiquitin,True,True,co-firing
487,0.6650000214576721,catalytic activity,ubiquitin,True,False,protein-only
785,0.671999990940094,catalytic activity,adhesion,True,True,co-firing
825,0.7649999856948853,regulation of RNA metabolic process,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase,True,False,protein-only
1018,0.7549999952316284,regulation of gene expression,nucleus · nuclear · transcription · chromat · polymerase,True,False,protein-only
1114,0.6899999976158142,catalytic activity,channel · transferase,True,False,protein-only
1397,0.6740000247955322,catalytic activity,kinase · phosphatase,True,False,protein-only
1483,0.703000009059906,regulation of nucleobase-containing compound metabolic process,nucleus · actin · kinase · cytoskeleton · develop · chromat,True,False,protein-only
1677,0.656000018119812,catalytic activity,kinase · phosphatase,True,False,protein-only
1679,0.7239999771118164,catalytic activity,transferase · redox,True,False,protein-only
1746,0.7390000224113464,regulation of RNA metabolic process,nucleus · transcription · nuclear · DNA-binding · polymerase · develop,True,False,protein-only
1768,0.6520000100135803,cell periphery,extracellular · receptor · secret · develop · matrix · adhesion,True,True,co-firing
2119,0.6679999828338623,organic substance biosynthetic process,metabolism · lipid · channel · endoplasmic reticulum · electron · redox,True,False,protein-only
2264,0.7889999747276306,catalytic activity,channel · metabolism · reductase · redox · electron,True,False,protein-only
2323,0.7360000014305115,catalytic activity,kinase · phosphatase,True,False,protein-only
2438,0.6990000009536743,catalytic activity,secret,True,False,protein-only
2533,0.6759999990463257,regulation of nucleobase-containing compound metabolic process,nucleus · nuclear · transcription · kinase · chromat · develop,True,False,protein-only
2599,0.6890000104904175,catalytic activity,kinase · phosphatase,True,False,protein-only
3192,0.7730000019073486,catalytic activity,gtpase · cytoskeleton,True,False,protein-only
3230,0.7110000252723694,catalytic activity,ubiquitin,True,False,protein-only
3265,0.7440000176429749,catalytic activity,channel · proton · redox,True,True,co-firing
3400,0.6949999928474426,catalytic activity,transport · gtpase,True,False,protein-only
3489,0.6690000295639038,biosynthetic process,phosphatase · channel · translation · ribosom,True,False,protein-only
3536,0.6949999928474426,cellular biosynthetic process,lipid · zinc-finger,True,True,co-firing
3774,0.7360000014305115,catalytic activity,DNA-binding · develop · polymerase,True,False,protein-only
3857,0.7310000061988831,catalytic activity,transferase · translation · ribosom · atpase,True,False,protein-only
3974,0.6809999942779541,catalytic activity,gtpase,True,False,protein-only
4007,0.777999997138977,catalytic activity,metabolism · transferase · redox,True,True,co-firing
4041,0.703000009059906,cell periphery,extracellular · receptor · neuron · synap · junction · adhesion,True,False,protein-only
4102,0.7239999771118164,catalytic activity,metabolism,True,False,protein-only
4161,0.7919999957084656,catalytic activity,metabolism · redox,True,False,protein-only
4182,0.6669999957084656,catalytic activity,ubiquitin,True,False,protein-only
4439,0.6909999847412109,system development,phosphatase,True,True,co-firing
4719,0.7990000247955322,catalytic activity,channel · metabolism · transferase · redox · mitochondrion,True,True,co-firing
4745,0.7390000224113464,catalytic activity,translation · neuron,True,False,protein-only
4843,0.675000011920929,catalytic activity,ubiquitin,True,True,co-firing
4852,0.7559999823570251,catalytic activity,channel · metabolism · reductase,True,False,protein-only
5002,0.6690000295639038,regulation of nucleobase-containing compound metabolic process,chromat · polymerase · DNA-binding,True,False,protein-only
5204,0.7379999756813049,catalytic activity,metabolism · channel · phosphatase · transferase · mitochondrion,True,False,protein-only
5385,0.6859999895095825,catalytic activity,transport · extracellular · lipid · metabolism · proton,True,False,protein-only
5661,0.7110000252723694,catalytic activity,zinc-finger · ubiquitin,True,False,protein-only
5812,0.6589999794960022,nucleic acid binding,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,True,True,co-firing
5943,0.671999990940094,regulation of RNA metabolic process,cytoskeleton · translation,True,False,protein-only
5972,0.7149999737739563,catalytic activity,channel · transport,True,False,protein-only
6008,0.6650000214576721,catalytic activity,metabolism · proton,True,False,protein-only
6118,0.7160000205039978,catalytic activity,redox,True,False,protein-only
6129,0.6660000085830688,organic substance biosynthetic process,cytoskeleton,True,False,protein-only
6156,0.7210000157356262,catalytic activity,metabolism · channel · transferase · reductase · redox,True,False,protein-only
6180,0.6610000133514404,organic substance biosynthetic process,cytoskeleton · redox · tubulin,True,True,co-firing
6344,0.7570000290870667,catalytic activity,chromat,True,False,protein-only
6345,0.6949999928474426,regulation of nucleobase-containing compound metabolic process,nuclear · transcription · polymerase · develop · chromat,True,False,protein-only
6399,0.7609999775886536,catalytic activity,channel · proton,True,False,protein-only
6508,0.6570000052452087,response to abiotic stimulus,chromat,True,False,protein-only
6563,0.7889999747276306,catalytic activity,metabolism · transferase,True,False,protein-only
6950,0.6809999942779541,regulation of nucleobase-containing compound metabolic process,cytoskeleton · neuron,True,False,protein-only
6984,0.7129999995231628,catalytic activity,channel · atpase,True,False,protein-only
7153,0.6679999828338623,catalytic activity,chromat · DNA-binding · neuron · polymerase,True,False,protein-only
7362,0.6830000281333923,catalytic activity,translation · cytoskeleton · gtpase,True,False,protein-only
7440,0.7149999737739563,regulation of RNA metabolic process,polymerase · translation · develop · chromat · DNA-binding · chaperone,True,True,co-firing
7474,0.671999990940094,negative regulation of biological process,nucleus · nuclear · chromat,True,False,protein-only
7532,0.75,catalytic activity,transferase · mitochondrion,True,False,protein-only
7595,0.7599999904632568,regulation of RNA metabolic process,transcription · nucleus · nuclear · DNA-binding · polymerase · chromat,True,False,protein-only
7617,0.7229999899864197,catalytic activity,phosphatase · translation,True,False,protein-only
7724,0.6790000200271606,intracellular non-membrane-bounded organelle,ubiquitin,True,False,protein-only
8157,0.6510000228881836,catalytic activity,phosphatase,True,False,protein-only
8381,0.7269999980926514,catalytic activity,kinase · phosphatase,True,False,protein-only
8513,0.7760000228881836,catalytic activity,metabolism · redox · reductase · proton,True,False,protein-only
8581,0.7269999980926514,nucleic acid binding,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase,True,False,protein-only
8591,0.6919999718666077,catalytic activity,transferase · chromat,True,False,protein-only
8712,0.6790000200271606,nucleic acid binding,chromat · cytoskeleton · develop · polymerase,True,False,protein-only
8835,0.6589999794960022,catalytic activity,channel · vesicl,True,False,protein-only
8844,0.7210000157356262,regulation of nucleobase-containing compound metabolic process,nucleus · nuclear · transcription · chromat · develop,True,False,protein-only
8975,0.6869999766349792,catalytic activity,cytoskeleton · neuron,True,False,protein-only
9090,0.746999979019165,catalytic activity,develop · polymerase,True,False,protein-only
9268,0.7879999876022339,catalytic activity,develop,True,False,protein-only
9379,0.6940000057220459,catalytic activity,phosphatase · transferase,True,False,protein-only
9673,0.6830000281333923,system development,extracellular · transport,True,True,co-firing
9685,0.6940000057220459,catalytic activity,kinase · phosphatase,True,False,protein-only
9710,0.7390000224113464,catalytic activity,metabolism · phosphatase · redox,True,False,protein-only
9715,0.7519999742507935,catalytic activity,channel · electron · redox · reductase · endoplasmic reticulum,True,False,protein-only
9743,0.7400000095367432,regulation of nucleobase-containing compound metabolic process,nucleus · transcription · nuclear · chromat · develop · polymerase,True,False,protein-only
9807,0.7929999828338623,catalytic activity,phosphatase · metabolism · transferase · atpase,True,False,protein-only
9843,0.7919999957084656,regulation of RNA metabolic process,nuclear · nucleus · transcription · chromat · polymerase,True,False,protein-only
10098,0.7300000190734863,catalytic activity,extracellular,True,False,protein-only
10177,0.652999997138977,nucleic acid binding,nucleus · transcription · nuclear · chromat · polymerase · translation,True,False,protein-only
10465,0.7279999852180481,catalytic activity,phosphatase · mitochondrion,True,True,co-firing
10467,0.6740000247955322,negative regulation of cellular process,nuclear · nucleus · transcription · chromat,True,False,protein-only
10521,0.6809999942779541,catalytic activity,develop · polymerase · DNA-binding,True,True,co-firing
10921,0.7160000205039978,catalytic activity,metabolism · channel · phosphatase · transferase · redox · mitochondrion,True,True,co-firing
10945,0.6779999732971191,protein metabolic process,zinc-finger · ubiquitin,True,False,protein-only
10957,0.7329999804496765,catalytic activity,redox,True,False,protein-only
11076,0.6539999842643738,regulation of nucleobase-containing compound metabolic process,nucleus · nuclear · transcription · kinase · chromat · polymerase,True,False,protein-only
11134,0.7929999828338623,catalytic activity,metabolism · channel · kinase · phosphatase · reductase · redox,True,False,protein-only
11172,0.652999997138977,catalytic activity,nucleus · nuclear · chromat · DNA-binding · polymerase,True,False,protein-only
11285,0.699999988079071,nucleic acid binding,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger,True,False,protein-only
11483,0.6959999799728394,catalytic activity,chromat · ubiquitin · zinc-finger,True,False,protein-only
11520,0.75,catalytic activity,phosphatase · gtpase,True,False,protein-only
11783,0.7440000176429749,catalytic activity,channel · ribosom · translation,True,False,protein-only
11784,0.6890000104904175,catalytic activity,kinase · phosphatase,True,False,protein-only
11849,0.6620000004768372,catalytic activity,neuron,True,False,protein-only
11852,0.7749999761581421,catalytic activity,metabolism · channel · phosphatase · transferase · redox · reductase,True,False,protein-only
11928,0.6949999928474426,catalytic activity,atpase,True,False,protein-only
12291,0.718999981880188,catalytic activity,transport · lipid · channel · metabolism · electron · endoplasmic reticulum,True,False,protein-only
12451,0.7649999856948853,catalytic activity,metabolism · transferase · redox · mitochondrion · proton · oxidase,True,False,protein-only
12680,0.6769999861717224,catalytic activity,nucleus · nuclear · chromat · polymerase · zinc-finger · DNA-binding,True,False,protein-only
12831,0.6539999842643738,protein metabolic process,nucleus · nuclear,True,False,protein-only
12842,0.7009999752044678,regulation of nucleobase-containing compound metabolic process,chromat,True,False,protein-only
