feature_id,band_class,fusion_class,go_label,go_auc,crossmodal_omega,crossmodal_pair,protein_frac,go_frac,text_frac,activation_freq,mean_activation,max_activation,n_proteins_active
15891,text-heavy,unimodal,cytosol,0.9782,0.0,none,0.0,0.0,1.0,0.0011,7.3244,22.7816,190
9222,text-heavy,unimodal,cytosol,0.9726,0.0,none,0.0,0.0,1.0,0.0004,8.4745,24.3494,197
10418,text-heavy,unimodal,positive regulation of biological process,0.9594,0.0,none,0.0,0.0,1.0,0.0037,7.4733,17.9509,230
8489,text-heavy,unimodal,cytosol,0.956,0.0,none,0.0,0.0,1.0,0.0007,8.4307,32.7049,186
13219,text-heavy,unimodal,positive regulation of biological process,0.9538,0.0,none,0.0,0.0,1.0,0.0018,7.7069,23.3117,175
6644,text-heavy,unimodal,positive regulation of biological process,0.9522,0.0,none,0.0,0.0,1.0,0.001,8.5092,18.119,117
2118,text-heavy,unimodal,positive regulation of biological process,0.951,0.0,none,0.0,0.0,1.0,0.0011,10.0566,19.4058,136
11519,text-heavy,unimodal,cytosol,0.9451,0.0,none,0.0,0.0,1.0,0.0004,15.7919,47.9982,200
18621,text-heavy,unimodal,nucleic acid binding,0.9438,0.0,none,0.0,0.0,1.0,0.0011,9.8144,32.0044,162
20206,text-heavy,unimodal,protein-containing complex,0.9435,0.0,none,0.0,0.0,1.0,0.0089,4.9461,17.9716,294
13468,text-heavy,unimodal,cytosol,0.9428,0.0,none,0.0,0.0,1.0,0.0002,3.4673,5.8567,169
8772,text-heavy,unimodal,positive regulation of biological process,0.9377,0.0,none,0.0,0.0,1.0,0.0014,4.8182,38.3352,204
493,text-heavy,unimodal,plasma membrane,0.9377,0.0,none,0.0,0.0,1.0,0.0006,6.9883,22.3775,188
11199,text-heavy,unimodal,response to stress,0.937,0.0,none,0.0,0.0,1.0,0.0069,3.6379,15.3428,296
15608,text-heavy,unimodal,cytosol,0.9365,0.0,none,0.0,0.0,1.0,0.001,7.5843,26.9934,164
290,text-heavy,unimodal,nucleus,0.9349,0.0,none,0.0,0.0,1.0,0.0007,6.5358,18.0629,134
11893,text-heavy,unimodal,positive regulation of biological process,0.9345,0.0,none,0.0,0.0,1.0,0.0021,6.9245,15.2277,192
5022,text-heavy,unimodal,positive regulation of biological process,0.9333,0.0,none,0.0,0.0,1.0,0.0023,9.9737,21.5213,215
6283,text-heavy,unimodal,nucleic acid binding,0.9322,0.0,none,0.0,0.0,1.0,0.0007,8.7574,32.8393,300
8431,text-heavy,unimodal,positive regulation of biological process,0.9321,0.0,none,0.0,0.0,1.0,0.0013,7.0053,23.2785,130
3459,text-heavy,unimodal,negative regulation of cellular process,0.9317,0.0,none,0.0,0.0,1.0,0.0016,8.8967,19.7741,183
18089,text-heavy,unimodal,binding,0.9309,0.0,none,0.0,0.0,1.0,0.0021,6.4994,27.5311,300
7411,text-heavy,unimodal,catalytic activity,0.9283,0.0,none,0.0,0.0,1.0,0.0015,8.7356,40.0235,254
16311,text-heavy,unimodal,cytosol,0.9279,0.0,none,0.0,0.0,1.0,0.0022,5.4591,20.1609,294
19092,text-heavy,unimodal,cytosol,0.9276,0.0,none,0.0,0.0,1.0,0.0004,3.8023,8.4217,235
17974,text-heavy,unimodal,cytosol,0.9266,0.0,none,0.0,0.0,1.0,0.0002,5.7883,16.0848,102
4550,text-heavy,unimodal,biological regulation,0.926,0.0,none,0.0,0.0,1.0,0.0029,5.6338,19.3443,300
15606,text-heavy,unimodal,nucleic acid binding,0.9254,0.0,none,0.0,0.0,1.0,0.0031,3.9501,14.4703,300
14684,text-heavy,unimodal,protein-containing complex,0.9247,0.0,none,0.0,0.0,1.0,0.0049,5.6999,18.4411,256
6144,text-heavy,unimodal,multicellular organism development,0.9228,0.0,none,0.0,0.0,1.0,0.0011,7.1335,25.8798,148
15189,text-heavy,unimodal,nucleic acid binding,0.9223,0.0,none,0.0,0.0,1.0,0.0007,8.8358,26.2813,261
14731,text-heavy,unimodal,catalytic activity,0.9194,0.0,none,0.0,0.0,1.0,0.001,10.6733,35.155,163
20037,text-heavy,unimodal,intracellular non-membrane-bounded organelle,0.9182,0.0,none,0.0,0.0,1.0,0.0006,15.6062,33.5833,224
13345,text-heavy,unimodal,intracellular non-membrane-bounded organelle,0.9173,0.0,none,0.0,0.0,1.0,0.0005,10.227,36.1326,123
2395,text-heavy,unimodal,negative regulation of biological process,0.9173,0.0,none,0.0,0.0,1.0,0.0072,4.6105,26.98,221
10582,text-heavy,unimodal,positive regulation of biological process,0.916,0.0,none,0.0,0.0,1.0,0.0075,4.5795,20.1203,247
19687,text-heavy,unimodal,nucleic acid binding,0.916,0.0,none,0.0,0.0,1.0,0.0009,9.1284,28.2915,300
14900,text-heavy,unimodal,catalytic activity,0.9158,0.0,none,0.0,0.0,1.0,0.0008,14.3513,26.9728,254
4949,text-heavy,unimodal,nucleus,0.9153,0.0,none,0.0,0.0,1.0,0.0024,5.1148,19.9242,197
4340,text-heavy,unimodal,nucleic acid binding,0.9149,0.0,none,0.0,0.0,1.0,0.0021,12.3494,29.3249,287
12361,text-heavy,unimodal,nucleic acid binding,0.9133,0.0,none,0.0,0.0,1.0,0.0228,6.4661,24.648,300
14623,text-heavy,unimodal,catalytic activity,0.9126,0.0,none,0.0,0.0,1.0,0.0007,13.1446,44.7355,145
4222,text-heavy,unimodal,catalytic activity,0.9117,0.0,none,0.0,0.0,1.0,0.0012,7.2186,26.9375,247
19991,text-heavy,unimodal,nucleic acid binding,0.9102,0.0,none,0.0,0.0,1.0,0.0019,7.0966,20.9692,161
167,text-heavy,unimodal,nucleic acid binding,0.9097,0.0,none,0.0,0.0,1.0,0.0006,9.5848,37.0506,300
6537,text-heavy,unimodal,negative regulation of cellular process,0.9091,0.0,none,0.0,0.0,1.0,0.0029,5.6745,17.5967,148
12308,text-heavy,unimodal,plasma membrane,0.9087,0.0,none,0.0,0.0,1.0,0.003,5.4052,20.466,290
10944,text-heavy,unimodal,nucleus,0.9084,0.0,none,0.0,0.0,1.0,0.0017,6.3077,18.3827,259
18380,text-heavy,unimodal,nucleic acid binding,0.9081,0.0,none,0.0,0.0,1.0,0.0026,5.2727,16.0329,168
18101,text-heavy,unimodal,nucleic acid binding,0.9076,0.0,none,0.0,0.0,1.0,0.0009,5.7407,12.9923,244
9929,text-heavy,unimodal,nucleic acid binding,0.906,0.0,none,0.0,0.0,1.0,0.0008,11.5336,29.0137,256
9270,text-heavy,unimodal,cytosol,0.9041,0.0,none,0.0,0.0,1.0,0.0027,7.0495,23.3142,300
17362,text-heavy,unimodal,catalytic activity,0.904,0.0,none,0.0,0.0,1.0,0.0034,4.2252,13.1625,290
13346,text-heavy,unimodal,developmental process,0.9037,0.0,none,0.0,0.0,1.0,0.0021,13.537,39.2913,203
4300,text-heavy,unimodal,nucleus,0.9034,0.0,none,0.0,0.0,1.0,0.001,4.8534,17.3008,156
18165,text-heavy,unimodal,nucleic acid binding,0.9028,0.0,none,0.0,0.0059,0.9941,0.0044,6.2092,17.0525,299
18793,text-heavy,unimodal,catalytic activity,0.9024,0.0,none,0.0,0.0,1.0,0.0044,5.3095,21.4699,300
1920,text-heavy,unimodal,catalytic activity,0.9024,0.0,none,0.0,0.0,1.0,0.0025,6.582,21.7392,160
15079,text-heavy,unimodal,response to stress,0.9023,0.0,none,0.0,0.0,1.0,0.002,5.6337,19.4092,117
8711,text-heavy,unimodal,multicellular organism development,0.9023,0.0,none,0.0,0.0,1.0,0.0025,7.0229,21.7129,223
19678,text-heavy,unimodal,catalytic activity,0.9014,0.0,none,0.0,0.0,1.0,0.0007,11.1368,43.2436,300
613,text-heavy,unimodal,protein-containing complex,0.9014,0.0,none,0.0,0.0,1.0,0.0047,10.0104,39.0583,299
5845,text-heavy,unimodal,nucleic acid binding,0.9013,0.0,none,0.0,0.0,1.0,0.0023,5.2523,19.7855,107
16584,text-heavy,unimodal,nucleic acid binding,0.9013,0.0,none,0.0,0.0363,0.9637,0.0007,10.8401,30.2223,158
12895,text-heavy,unimodal,multicellular organism development,0.9013,0.0,none,0.0,0.0,1.0,0.0015,6.878,22.8755,170
11264,text-heavy,unimodal,nucleus,0.8998,0.0,none,0.0,0.0,1.0,0.0015,8.5182,32.7907,258
893,text-heavy,unimodal,nucleus,0.8995,0.0,none,0.0,0.0,1.0,0.0025,6.3455,19.3669,300
20320,text-heavy,unimodal,nucleic acid binding,0.8992,0.0,none,0.0,0.0,1.0,0.0104,6.4708,22.9911,208
5607,text-heavy,unimodal,binding,0.8987,0.0,none,0.0,0.0,1.0,0.0012,6.0057,15.7922,287
12346,text-heavy,unimodal,catalytic activity,0.8986,0.0,none,0.0,0.0,1.0,0.0018,6.397,25.18,154
10409,text-heavy,unimodal,plasma membrane,0.8977,0.0,none,0.0,0.0,1.0,0.0102,4.7648,17.5497,299
