feature_id,reasoning_go_term,go_auc_reasoning,reasoning_span,log_frequency,max_activation,xmodal_caption
38899,mitochondrion,0.968,3.7,-3.1274817,30.139467,
8951,transmembrane transporter activity,0.946,3.7,-3.0787797,30.896412,
22802,chromosome,0.834,3.2,-3.226768,29.845856,
5981,endoplasmic reticulum,0.972,2.9,-3.2444925,54.324787,
1305,plasma membrane,0.877,2.8,-3.1886094,20.869259,
27761,mitochondrion,0.98,2.7,-3.0320485,28.04189,
26331,transmembrane transporter activity,0.941,2.7,-3.1659298,30.974318,
20572,endoplasmic reticulum,0.976,2.5,-3.020954,27.436129,
25072,cell projection,0.781,2.4,-3.300311,37.92284,
7884,molecular function regulator activity,0.868,2.3,-3.1926043,33.652752,
39113,transmembrane transporter activity,0.95,2.2,-3.109174,59.07874,
8422,response to oxygen-containing compound,0.932,2.2,-3.1547089,27.693079,
7691,defense response,0.911,2.2,-3.1528099,38.85393,
7856,embryo development,0.973,2.1,-3.0232072,45.878284,
22867,epithelium development,0.893,2.0,-3.0427394,33.64975,
28444,response to oxygen-containing compound,0.918,1.8,-3.2061849,22.967562,
37793,transcription regulator activity,0.9,1.8,-3.2649238,26.501778,
37358,defense response,0.963,1.7,-3.2318463,34.43431,
27012,transcription regulator activity,0.906,1.7,-3.116495,22.551985,
31929,hydrolase activity,0.873,1.6,-3.1292932,50.451866,
16933,endoplasmic reticulum,0.966,1.5,-3.0161402,23.173786,
1188,transporter activity,0.926,1.5,-3.2507963,31.142473,
28921,animal organ morphogenesis,0.89,1.5,-3.1574764,28.702028,
35200,cytosol,0.877,1.4,-3.1552653,29.947586,
25928,hydrolase activity,0.863,1.4,-3.1340792,23.054276,
21390,endoplasmic reticulum,0.974,1.3,-3.539723,70.36257,
34912,animal organ morphogenesis,0.877,1.3,-3.1420226,38.2011,
9082,transcription regulator activity,0.949,1.2,-3.2839384,20.482735,
7745,mitochondrion,0.945,1.2,-3.4417455,21.462675,
10037,catalytic complex,0.897,1.2,-3.1142876,31.959513,
10756,post-embryonic development,0.864,1.2,-3.2335608,38.06974,
36984,protein localization,0.805,1.2,-3.4351697,36.141567,
