feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
4716,endoplasmic reticulum,0.989,0.952,0.952,0.037,1.0,
16494,synapse,0.986,0.827,0.897,0.089,0.55,
4456,synapse,0.982,0.827,0.897,0.085,0.8,
36378,mitochondrion,0.982,0.779,0.826,0.156,0.65,
35647,kinase activity,0.976,0.808,0.83,0.146,0.65,
39935,oxidoreductase activity,0.976,0.862,0.9,0.076,0.55,
22453,synapse,0.975,0.827,0.897,0.078,0.6,
37876,endoplasmic reticulum,0.972,0.952,0.952,0.02,0.5,
5362,endoplasmic reticulum,0.971,0.952,0.952,0.019,0.45,
4185,endoplasmic reticulum,0.967,0.952,0.952,0.015,0.45,
29548,sexual reproduction,0.967,0.696,0.753,0.215,0.65,
2256,Golgi apparatus,0.965,0.831,0.935,0.03,0.4,
17006,response to hormone,0.963,0.758,0.787,0.176,0.8,
2955,endoplasmic reticulum,0.961,0.952,0.952,0.009,0.55,
24389,mitochondrion,0.96,0.779,0.826,0.134,0.65,
5687,transmembrane transporter activity,0.959,0.9,0.937,0.022,0.65,
30488,oxidoreductase activity,0.959,0.862,0.9,0.059,0.5,
31592,endoplasmic reticulum,0.959,0.952,0.952,0.007,0.65,
3310,oxidoreductase activity,0.955,0.862,0.9,0.055,0.55,
30993,transmembrane transporter activity,0.953,0.9,0.937,0.016,0.7,
21531,neuron projection,0.952,0.797,0.894,0.059,0.5,
30713,mitochondrion,0.95,0.779,0.826,0.124,0.95,
18556,transmembrane transporter activity,0.948,0.9,0.937,0.011,0.65,
39580,synapse,0.946,0.827,0.897,0.049,0.4,
23666,kinase activity,0.945,0.808,0.83,0.115,0.6,
11908,transmembrane transporter activity,0.943,0.9,0.937,0.006,0.65,
18980,oxidoreductase activity,0.942,0.862,0.9,0.042,0.7,
39407,response to hormone,0.941,0.758,0.787,0.154,0.2,
18389,oxidoreductase activity,0.94,0.862,0.9,0.04,0.65,
4306,nervous system development,0.939,0.822,0.788,0.118,0.75,
29013,transcription regulator activity,0.938,0.852,0.918,0.02,0.45,
30677,neuron projection,0.938,0.797,0.894,0.044,0.6,
24606,transcription regulator activity,0.936,0.852,0.918,0.018,0.5,
16271,transmembrane transporter activity,0.935,0.9,0.937,-0.003,0.65,
7514,sexual reproduction,0.932,0.696,0.753,0.179,0.4,
12706,transcription regulator activity,0.93,0.852,0.918,0.011,0.5,
15839,mitochondrion,0.93,0.779,0.826,0.104,0.7,
36696,transmembrane transporter activity,0.93,0.9,0.937,-0.007,0.9,
1988,sexual reproduction,0.922,0.696,0.753,0.17,0.65,
19168,sexual reproduction,0.922,0.696,0.753,0.169,0.55,
21712,response to hormone,0.921,0.758,0.787,0.134,0.35,
11608,nervous system development,0.92,0.822,0.788,0.098,0.5,
22131,transcription regulator activity,0.913,0.852,0.918,-0.005,0.5,
28681,cytosol,0.905,0.736,0.827,0.078,0.45,
6569,nervous system development,0.904,0.822,0.788,0.082,0.65,
18374,neuron projection,0.903,0.797,0.894,0.009,0.15,
29338,nervous system development,0.901,0.822,0.788,0.079,0.6,
30811,kinase activity,0.901,0.808,0.83,0.071,0.0,
32179,kinase activity,0.899,0.808,0.83,0.069,0.55,
10643,mitochondrion,0.898,0.779,0.826,0.072,0.85,
13923,animal organ morphogenesis,0.895,0.737,0.881,0.014,0.0,
20498,mitochondrion,0.892,0.779,0.826,0.066,0.85,
4939,nervous system development,0.89,0.822,0.788,0.068,0.65,
21229,transcription regulator activity,0.888,0.852,0.918,-0.03,0.55,
37767,transcription regulator activity,0.888,0.852,0.918,-0.03,0.5,
9189,oxidoreductase activity,0.886,0.862,0.9,-0.014,0.6,
3606,nervous system development,0.885,0.822,0.788,0.063,0.55,
33352,sexual reproduction,0.883,0.696,0.753,0.131,0.45,
20129,kinase activity,0.88,0.808,0.83,0.05,0.4,
28496,cell surface receptor signaling pathway,0.88,0.782,0.846,0.034,0.45,
28696,transmembrane transporter activity,0.877,0.9,0.937,-0.06,0.4,
