feature_id,go_term_protein,go_auc_protein,xmodal_caption,band_class,log_frequency,max_activation
33415,catalytic activity,0.824,metabolism · zinc-finger,protein-heavy,-1.7913455,0.90087044
36071,catalytic activity,0.816,metabolism · phosphatase · transferase · redox · mitochondrion,protein-heavy,-1.9603741,1.2790006
4719,catalytic activity,0.799,channel · metabolism · transferase · redox · mitochondrion,protein-heavy,-1.4139435,1.4303906
33255,catalytic activity,0.797,metabolism · channel · phosphatase · transferase · proton,protein-heavy,-1.315821,1.0095447
22731,catalytic activity,0.796,proton,protein-heavy,-2.5631466,1.7978843
11134,catalytic activity,0.793,metabolism · channel · kinase · phosphatase · reductase · redox,protein-heavy,-2.0497124,1.4318744
9807,catalytic activity,0.793,phosphatase · metabolism · transferase · atpase,protein-heavy,-2.3139403,1.2379715
9843,regulation of RNA metabolic process,0.792,nuclear · nucleus · transcription · chromat · polymerase,protein-heavy,-2.3801908,1.2786616
4161,catalytic activity,0.792,metabolism · redox,protein-heavy,-1.9743285,1.244828
13297,catalytic activity,0.791,metabolism · channel,protein-heavy,-0.9832784,21.612213
20879,catalytic activity,0.791,metabolism,protein-heavy,-1.8461052,0.96142524
2264,catalytic activity,0.789,channel · metabolism · reductase · redox · electron,protein-heavy,-2.3019145,2.3194273
6563,catalytic activity,0.789,metabolism · transferase,protein-heavy,-2.591041,2.0504174
9268,catalytic activity,0.788,develop,protein-heavy,-1.3275117,0.9311424
37625,catalytic activity,0.781,channel,protein-heavy,-1.5734434,0.80320746
22375,catalytic activity,0.78,channel · metabolism · redox · ribosom,protein-heavy,-1.6707032,1.4113144
35661,catalytic activity,0.779,metabolism · channel · redox · reductase,protein-heavy,-3.0510306,3.093631
4007,catalytic activity,0.778,metabolism · transferase · redox,protein-heavy,-1.4807652,1.4497756
8513,catalytic activity,0.776,metabolism · redox · reductase · proton,protein-heavy,-3.638987,1.3490405
11852,catalytic activity,0.775,metabolism · channel · phosphatase · transferase · redox · reductase,protein-heavy,-2.6078975,1.2538483
26570,catalytic activity,0.774,channel · metabolism · phosphatase · kinase · transferase,protein-heavy,-2.1916656,1.3221296
3192,catalytic activity,0.773,gtpase · cytoskeleton,protein-heavy,-1.9825509,1.2469941
33418,catalytic activity,0.773,metabolism · redox · reductase · proton,protein-heavy,-3.5901818,1.6974139
28462,catalytic activity,0.772,develop,protein-heavy,-2.1257124,1.0505573
26920,catalytic activity,0.772,phosphatase · proton,protein-heavy,-1.7018843,1.1679204
13570,catalytic activity,0.768,channel · transferase · mitochondrion,protein-heavy,-1.6195261,0.9462369
33195,catalytic activity,0.768,channel · transferase · redox · mitochondrion · proton,protein-heavy,-2.0830255,1.0037003
21286,nucleic acid binding,0.767,nucleus · nuclear · transcription · chromat · polymerase · translation,protein-heavy,-1.994469,4.7091737
32232,catalytic activity,0.765,channel · metabolism · transferase · redox · reductase,protein-heavy,-1.3558713,0.9359307
825,regulation of RNA metabolic process,0.765,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase,protein-heavy,-0.83840245,14.354496
12451,catalytic activity,0.765,metabolism · transferase · redox · mitochondrion · proton · oxidase,protein-heavy,-1.8600883,1.0851315
18157,catalytic activity,0.765,transferase,protein-heavy,-0.99052215,2.179959
21229,catalytic activity,0.763,metabolism · transferase · chromat · mitochondrion,protein-heavy,-1.8073845,1.1175934
24084,catalytic activity,0.763,metabolism · redox · reductase,protein-heavy,-3.6496165,1.0581601
6399,catalytic activity,0.761,channel · proton,protein-heavy,-1.4092125,1.0668817
35516,catalytic activity,0.76,metabolism · channel · transferase · reductase · redox · mitochondrion,protein-heavy,-1.4366401,0.94340867
7595,regulation of RNA metabolic process,0.76,transcription · nucleus · nuclear · DNA-binding · polymerase · chromat,protein-heavy,-2.8145652,4.4643025
39784,catalytic activity,0.759,channel · metabolism · phosphatase · transferase · atpase · redox,protein-heavy,-2.287966,1.6618505
26180,catalytic activity,0.759,kinase · phosphatase · cytoskeleton,protein-heavy,-2.8131602,1.7073501
36808,catalytic activity,0.758,kinase · phosphatase · cytoskeleton,protein-heavy,-2.3095381,1.4865392
6344,catalytic activity,0.757,chromat,protein-heavy,-1.1362804,10.237907
4852,catalytic activity,0.756,channel · metabolism · reductase,protein-heavy,-1.2953967,1.032504
19518,catalytic activity,0.755,channel · metabolism · transferase · atpase,protein-heavy,-1.6009341,1.1888099
1018,regulation of gene expression,0.755,nucleus · nuclear · transcription · chromat · polymerase,protein-heavy,-1.8733089,1.6290469
38434,catalytic activity,0.754,chromat · polymerase · DNA-binding,protein-heavy,-1.6297301,1.2248558
14619,catalytic activity,0.754,kinase · phosphatase,protein-heavy,-1.5210586,1.727476
9715,catalytic activity,0.752,channel · electron · redox · reductase · endoplasmic reticulum,protein-heavy,-2.3901482,1.1548692
40107,catalytic activity,0.751,matrix,protein-heavy,-2.8750348,0.8073757
16302,nucleic acid binding,0.751,chromat · polymerase,protein-heavy,-1.5158515,5.833267
11520,catalytic activity,0.75,phosphatase · gtpase,protein-heavy,-2.562255,1.796249
34459,cell periphery,0.75,extracellular · receptor · adhesion · synap · immune · neuron,protein-heavy,-2.4692485,2.2362297
15306,catalytic activity,0.75,transferase,protein-heavy,-2.2603323,0.7953861
20024,catalytic activity,0.75,lipid · transport,protein-heavy,-2.6280026,1.8482144
7532,catalytic activity,0.75,transferase · mitochondrion,protein-heavy,-1.6697206,1.1254412
16757,catalytic activity,0.749,phosphatase,protein-heavy,-2.138546,1.5322934
23995,catalytic activity,0.748,develop · translation,protein-heavy,-1.4312882,0.87155557
23578,catalytic activity,0.747,channel · metabolism · mitochondrion,protein-heavy,-1.8910631,1.3436213
9090,catalytic activity,0.747,develop · polymerase,protein-heavy,-1.8984118,12.954216
29493,catalytic activity,0.745,metabolism · transferase · phosphatase · redox · mitochondrion,protein-heavy,-2.3363771,1.1879277
34760,catalytic activity,0.744,redox,protein-heavy,-1.5933542,1.1833451
11783,catalytic activity,0.744,channel · ribosom · translation,protein-heavy,-1.8636206,1.3231186
32237,catalytic activity,0.744,metabolism · matrix · redox,protein-heavy,-1.9067498,1.0763595
3265,catalytic activity,0.744,channel · proton · redox,protein-heavy,-1.9915102,1.4338825
15901,catalytic activity,0.742,metabolism · transferase · mitochondrion · redox,protein-heavy,-2.006906,1.4657931
29950,regulation of RNA metabolic process,0.741,extracellular · secret · immune,protein-heavy,-2.5696244,0.69831187
29407,catalytic activity,0.741,phosphatase · kinase · translation · gtpase,protein-heavy,-2.202649,1.3205134
14036,nucleic acid binding,0.74,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase,protein-heavy,-2.210191,2.9408007
9743,regulation of nucleobase-containing compound metabolic process,0.74,nucleus · transcription · nuclear · chromat · develop · polymerase,protein-heavy,-1.7838877,2.757961
4745,catalytic activity,0.739,translation · neuron,protein-heavy,-2.109797,1.4507432
9710,catalytic activity,0.739,metabolism · phosphatase · redox,protein-heavy,-1.4650471,1.1123841
1746,regulation of RNA metabolic process,0.739,nucleus · transcription · nuclear · DNA-binding · polymerase · develop,protein-heavy,-1.9289716,1.1639578
18450,catalytic activity,0.738,redox · proton,protein-heavy,-1.259128,0.9721798
16888,catalytic activity,0.738,transferase,protein-heavy,-1.6608989,0.9225158
37226,catalytic activity,0.738,metabolism · transferase · channel · phosphatase,protein-heavy,-1.7923619,1.288968
5204,catalytic activity,0.738,metabolism · channel · phosphatase · transferase · mitochondrion,protein-heavy,-2.7860975,1.8226994
38737,catalytic activity,0.737,channel · transferase,protein-heavy,-1.5747689,0.95429945
19970,catalytic activity,0.736,kinase · phosphatase,protein-heavy,-1.3743886,1.3937043
3774,catalytic activity,0.736,DNA-binding · develop · polymerase,protein-heavy,-2.083401,1.5921059
