feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
16512,ribonucleoprotein complex,0.956,0.755,0.845,0.111,0.5,
31891,transmembrane transporter activity,0.949,0.635,0.812,0.137,0.1,extracellular · transport · lipid · proton · neuron
17121,transmembrane transporter activity,0.925,0.635,0.812,0.113,0.15,extracellular · transport · lipid · neuron · proton
24015,transporter activity,0.924,0.733,0.83,0.094,0.15,
39596,molecular transducer activity,0.918,0.704,0.758,0.16,0.2,
8630,chemical homeostasis,0.911,0.547,0.793,0.118,0.0,
18523,molecular transducer activity,0.911,0.704,0.758,0.153,0.1,extracellular · receptor · adhesion · neuron · develop · synap
31688,ribonucleoprotein complex,0.91,0.755,0.845,0.064,0.15,
16587,transmembrane transporter activity,0.908,0.635,0.812,0.096,0.2,
11134,oxidoreductase activity,0.898,0.839,0.852,0.047,0.3,metabolism · channel · kinase · phosphatase · reductase · redox
34173,transmembrane transporter activity,0.893,0.635,0.812,0.081,0.2,extracellular · lipid · phosphatase · translation · gtpase
16083,molecular transducer activity,0.88,0.704,0.758,0.122,0.15,receptor · extracellular · neuron · synap
27293,oxidoreductase activity,0.88,0.839,0.852,0.029,0.0,
29897,oxidoreductase activity,0.88,0.839,0.852,0.029,0.25,metabolism · transferase
11448,ribonucleoprotein complex,0.879,0.755,0.845,0.034,0.15,
13297,oxidoreductase activity,0.878,0.839,0.852,0.026,0.25,metabolism · channel
32232,kinase activity,0.875,0.558,0.586,0.289,0.0,channel · metabolism · transferase · redox · reductase
8513,oxidoreductase activity,0.874,0.839,0.852,0.022,0.2,metabolism · redox · reductase · proton
34914,kinase activity,0.874,0.558,0.586,0.288,0.1,cytoskeleton
25752,response to hormone,0.873,0.778,0.597,0.096,0.1,transcription · nucleus · nuclear · chromat · develop · DNA-binding
39992,response to hormone,0.871,0.778,0.597,0.094,0.1,actin · ubiquitin · develop · cytoskeleton · gtpase
33418,oxidoreductase activity,0.869,0.839,0.852,0.018,0.2,metabolism · redox · reductase · proton
4994,transmembrane transporter activity,0.862,0.635,0.812,0.05,0.35,
35661,oxidoreductase activity,0.862,0.839,0.852,0.01,0.15,metabolism · channel · redox · reductase
9807,oxidoreductase activity,0.86,0.839,0.852,0.008,0.1,phosphatase · metabolism · transferase · atpase
28280,molecular transducer activity,0.858,0.704,0.758,0.1,0.1,
18467,external encapsulating structure,0.857,0.667,0.648,0.19,0.2,
19224,kinase activity,0.857,0.558,0.586,0.271,0.4,kinase · phosphatase
24084,oxidoreductase activity,0.857,0.839,0.852,0.005,0.15,metabolism · redox · reductase
26570,kinase activity,0.855,0.558,0.586,0.269,0.05,channel · metabolism · phosphatase · kinase · transferase
7576,oxidoreductase activity,0.854,0.839,0.852,0.002,0.15,
6984,oxidoreductase activity,0.85,0.839,0.852,-0.001,0.2,channel · atpase
35214,oxidoreductase activity,0.85,0.839,0.852,-0.002,0.0,
9399,kinase activity,0.849,0.558,0.586,0.264,0.4,
26408,ribonucleoprotein complex,0.849,0.755,0.845,0.004,0.0,
11249,oxidoreductase activity,0.847,0.839,0.852,-0.005,0.0,
34397,kinase activity,0.846,0.558,0.586,0.26,0.4,
3400,oxidoreductase activity,0.845,0.839,0.852,-0.007,0.1,transport · gtpase
27114,molecular transducer activity,0.844,0.704,0.758,0.086,0.15,
744,oxidoreductase activity,0.843,0.839,0.852,-0.009,0.0,
8381,kinase activity,0.843,0.558,0.586,0.257,0.4,kinase · phosphatase
12490,kinase activity,0.842,0.558,0.586,0.257,0.25,
38072,transmembrane transporter activity,0.839,0.635,0.812,0.027,0.2,
6155,oxidoreductase activity,0.838,0.839,0.852,-0.013,0.0,
24033,molecular transducer activity,0.837,0.704,0.758,0.078,0.1,
5904,ribonucleoprotein complex,0.833,0.755,0.845,-0.012,0.0,
8283,molecular transducer activity,0.833,0.704,0.758,0.075,0.15,
13483,ribonucleoprotein complex,0.833,0.755,0.845,-0.012,0.55,
38189,transmembrane transporter activity,0.833,0.635,0.812,0.021,0.25,
39928,molecular transducer activity,0.833,0.704,0.758,0.075,0.3,
4161,oxidoreductase activity,0.831,0.839,0.852,-0.021,0.1,metabolism · redox
23351,oxidoreductase activity,0.83,0.839,0.852,-0.022,0.15,channel · metabolism · lipid · endoplasmic reticulum
35363,oxidoreductase activity,0.829,0.839,0.852,-0.023,0.0,nucleus · nuclear · chromat · zinc-finger
36169,kinase activity,0.828,0.558,0.586,0.242,0.3,kinase · phosphatase
22127,transcription regulator activity,0.824,0.609,0.629,0.195,0.05,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
36071,kinase activity,0.821,0.558,0.586,0.236,0.05,metabolism · phosphatase · transferase · redox · mitochondrion
18357,molecular transducer activity,0.82,0.704,0.758,0.062,0.2,extracellular · receptor · secret · kinase · adhesion · immune
32216,kinase activity,0.82,0.558,0.586,0.235,0.05,zinc-finger · gtpase
2264,oxidoreductase activity,0.819,0.839,0.852,-0.033,0.35,channel · metabolism · reductase · redox · electron
26324,transmembrane transporter activity,0.819,0.635,0.812,0.007,0.25,
28850,nucleolus,0.819,0.548,0.713,0.106,0.1,
14760,kinase activity,0.817,0.558,0.586,0.231,0.0,
427,oxidoreductase activity,0.816,0.839,0.852,-0.036,0.0,
8272,response to hormone,0.816,0.778,0.597,0.038,0.05,
16302,cilium,0.816,0.701,0.812,0.004,0.1,chromat · polymerase
14241,transmembrane transporter activity,0.815,0.635,0.812,0.002,0.05,
8697,kinase activity,0.813,0.558,0.586,0.228,0.3,
9715,oxidoreductase activity,0.813,0.839,0.852,-0.039,0.2,channel · electron · redox · reductase · endoplasmic reticulum
25575,transmembrane transporter activity,0.813,0.635,0.812,0.001,0.0,
35294,external encapsulating structure,0.813,0.667,0.648,0.145,0.3,receptor · extracellular · secret · adhesion · matrix · neuron
13570,oxidoreductase activity,0.812,0.839,0.852,-0.04,0.2,channel · transferase · mitochondrion
33320,ribonucleoprotein complex,0.812,0.755,0.845,-0.033,0.35,
18771,kinase activity,0.811,0.558,0.586,0.226,0.15,kinase
20533,oxidoreductase activity,0.811,0.839,0.852,-0.041,0.0,
40439,chemical homeostasis,0.811,0.547,0.793,0.018,0.05,
38102,chemical homeostasis,0.81,0.547,0.793,0.017,0.1,
20121,chemical homeostasis,0.809,0.547,0.793,0.016,0.0,
29666,"transferase activity, transferring phosphorus-containing groups",0.809,0.591,0.586,0.217,0.35,
34285,kinase activity,0.808,0.558,0.586,0.222,0.3,kinase
6017,transmembrane transporter activity,0.807,0.635,0.812,-0.005,0.25,
8235,chemical homeostasis,0.807,0.547,0.793,0.015,0.05,
20024,oxidoreductase activity,0.807,0.839,0.852,-0.045,0.15,lipid · transport
26119,chemical homeostasis,0.807,0.547,0.793,0.015,0.05,
1863,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
6212,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
7777,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
8456,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
10789,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
16651,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
21229,oxidoreductase activity,0.806,0.839,0.852,-0.045,0.15,metabolism · transferase · chromat · mitochondrion
21273,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
22382,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
26978,transmembrane transporter activity,0.806,0.635,0.812,-0.006,0.4,
32378,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
33373,chemical homeostasis,0.806,0.547,0.793,0.013,0.05,
33850,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
33905,chemical homeostasis,0.806,0.547,0.793,0.013,0.0,
6129,chemical homeostasis,0.805,0.547,0.793,0.012,0.05,cytoskeleton
9063,chemical homeostasis,0.805,0.547,0.793,0.012,0.15,
10312,chemical homeostasis,0.805,0.547,0.793,0.012,0.0,
12575,chemical homeostasis,0.805,0.547,0.793,0.012,0.05,
17887,chemical homeostasis,0.805,0.547,0.793,0.012,0.0,
24121,chemical homeostasis,0.805,0.547,0.793,0.012,0.1,
33218,chemical homeostasis,0.805,0.547,0.793,0.012,0.05,
37138,chemical homeostasis,0.805,0.547,0.793,0.012,0.05,
2283,chemical homeostasis,0.804,0.547,0.793,0.011,0.0,
3469,ribonucleoprotein complex,0.804,0.755,0.845,-0.042,0.15,
7532,oxidoreductase activity,0.804,0.839,0.852,-0.048,0.05,transferase · mitochondrion
11876,chemical homeostasis,0.804,0.547,0.793,0.011,0.0,
12420,chemical homeostasis,0.804,0.547,0.793,0.011,0.05,
20008,chemical homeostasis,0.804,0.547,0.793,0.011,0.05,
21074,chemical homeostasis,0.804,0.547,0.793,0.011,0.05,
22231,chemical homeostasis,0.804,0.547,0.793,0.011,0.05,
24976,chemical homeostasis,0.804,0.547,0.793,0.011,0.05,
