feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
17121,transmembrane transporter activity,0.885,0.757,0.811,0.074,0.5,extracellular · transport · lipid · neuron · proton
31891,transmembrane transporter activity,0.885,0.757,0.811,0.074,0.3,extracellular · transport · lipid · proton · neuron
19224,kinase activity,0.874,0.842,0.864,0.01,0.35,kinase · phosphatase
17132,transmembrane transporter activity,0.862,0.757,0.811,0.051,0.0,
8381,kinase activity,0.856,0.842,0.864,-0.008,0.6,kinase · phosphatase
18245,transmembrane transporter activity,0.854,0.757,0.811,0.044,0.7,
2323,kinase activity,0.852,0.842,0.864,-0.012,0.75,kinase · phosphatase
8842,kinase activity,0.852,0.842,0.864,-0.012,0.45,
19970,kinase activity,0.852,0.842,0.864,-0.012,0.0,kinase · phosphatase
18125,kinase activity,0.85,0.842,0.864,-0.014,0.6,kinase · phosphatase
23743,kinase activity,0.849,0.842,0.864,-0.015,0.0,
13297,oxidoreductase activity,0.848,0.838,0.841,0.007,0.15,metabolism · channel
19974,transmembrane transporter activity,0.848,0.757,0.811,0.038,0.05,
11848,transmembrane transporter activity,0.847,0.757,0.811,0.037,0.35,
33418,oxidoreductase activity,0.847,0.838,0.841,0.006,0.05,metabolism · redox · reductase · proton
26180,kinase activity,0.845,0.842,0.864,-0.019,0.3,kinase · phosphatase · cytoskeleton
35661,oxidoreductase activity,0.843,0.838,0.841,0.001,0.1,metabolism · channel · redox · reductase
9807,oxidoreductase activity,0.842,0.838,0.841,0.001,0.1,phosphatase · metabolism · transferase · atpase
8513,oxidoreductase activity,0.841,0.838,0.841,-0.001,0.2,metabolism · redox · reductase · proton
17319,transmembrane transporter activity,0.837,0.757,0.811,0.026,0.15,metabolism · transport · lipid
22731,oxidoreductase activity,0.837,0.838,0.841,-0.004,0.2,proton
2599,kinase activity,0.835,0.842,0.864,-0.029,0.4,kinase · phosphatase
7576,oxidoreductase activity,0.835,0.838,0.841,-0.006,0.0,
9715,oxidoreductase activity,0.835,0.838,0.841,-0.006,0.1,channel · electron · redox · reductase · endoplasmic reticulum
24084,oxidoreductase activity,0.835,0.838,0.841,-0.006,0.05,metabolism · redox · reductase
38855,kinase activity,0.832,0.842,0.864,-0.031,0.35,
34173,transmembrane transporter activity,0.831,0.757,0.811,0.02,0.4,extracellular · lipid · phosphatase · translation · gtpase
3911,transcription regulator activity,0.83,0.781,0.81,0.02,0.6,
11134,oxidoreductase activity,0.83,0.838,0.841,-0.011,0.15,metabolism · channel · kinase · phosphatase · reductase · redox
2264,oxidoreductase activity,0.829,0.838,0.841,-0.012,0.3,channel · metabolism · reductase · redox · electron
29897,oxidoreductase activity,0.829,0.838,0.841,-0.012,0.2,metabolism · transferase
28536,kinase activity,0.828,0.842,0.864,-0.035,0.3,kinase · phosphatase
18481,kinase activity,0.827,0.842,0.864,-0.037,0.4,kinase · phosphatase
2578,kinase activity,0.825,0.842,0.864,-0.039,0.2,
6017,transmembrane transporter activity,0.824,0.757,0.811,0.014,0.0,
26978,transmembrane transporter activity,0.824,0.757,0.811,0.013,0.4,
1397,kinase activity,0.823,0.842,0.864,-0.041,0.25,kinase · phosphatase
11784,kinase activity,0.823,0.842,0.864,-0.041,0.2,kinase · phosphatase
29666,kinase activity,0.823,0.842,0.864,-0.04,0.4,
34285,kinase activity,0.823,0.842,0.864,-0.041,0.0,kinase
38532,transcription regulator activity,0.823,0.781,0.81,0.012,0.4,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
1746,transcription regulator activity,0.82,0.781,0.81,0.01,0.2,nucleus · transcription · nuclear · DNA-binding · polymerase · develop
18771,kinase activity,0.82,0.842,0.864,-0.044,0.05,kinase
15613,kinase activity,0.819,0.842,0.864,-0.045,0.05,
26356,transcription regulator activity,0.819,0.781,0.81,0.009,0.3,
36169,kinase activity,0.819,0.842,0.864,-0.045,0.1,kinase · phosphatase
8675,kinase activity,0.818,0.842,0.864,-0.046,0.55,
33127,transcription regulator activity,0.818,0.781,0.81,0.008,0.25,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
39869,kinase activity,0.818,0.842,0.864,-0.045,0.55,
34397,kinase activity,0.817,0.842,0.864,-0.046,0.45,
35516,oxidoreductase activity,0.817,0.838,0.841,-0.025,0.05,metabolism · channel · transferase · reductase · redox · mitochondrion
32237,kinase activity,0.815,0.842,0.864,-0.049,0.0,metabolism · matrix · redox
8581,transcription regulator activity,0.814,0.781,0.81,0.004,0.15,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase
17569,kinase activity,0.814,0.842,0.864,-0.049,0.1,kinase · phosphatase · cytoskeleton
5019,kinase activity,0.813,0.842,0.864,-0.051,0.0,
14619,kinase activity,0.813,0.842,0.864,-0.051,0.0,kinase · phosphatase
7440,transcription regulator activity,0.812,0.781,0.81,0.002,0.05,polymerase · translation · develop · chromat · DNA-binding · chaperone
9685,kinase activity,0.812,0.842,0.864,-0.052,0.5,kinase · phosphatase
29094,transcription regulator activity,0.812,0.781,0.81,0.002,0.4,nucleus · nuclear · transcription · actin · chromat · polymerase
8697,kinase activity,0.811,0.842,0.864,-0.053,0.0,
22127,transcription regulator activity,0.811,0.781,0.81,0.0,0.0,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
30520,transmembrane transporter activity,0.811,0.757,0.811,0.0,0.65,
13166,oxidoreductase activity,0.81,0.838,0.841,-0.032,0.0,
17097,transcription regulator activity,0.81,0.781,0.81,-0.0,0.15,
17622,kinase activity,0.81,0.842,0.864,-0.053,0.55,
5812,transcription regulator activity,0.809,0.781,0.81,-0.001,0.25,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding
27829,kinase activity,0.809,0.842,0.864,-0.055,0.1,
35981,kinase activity,0.809,0.842,0.864,-0.054,0.0,metabolism · phosphatase · transferase · redox · ribosom
